ID,InfoLink,ImageLink,Name,Gender,Color,Breed,Age,Weight,Located,Treated,FemaleGender,AgeYear,AgeMonth,AgeWeek,AgeDay,ShelterSince,Comment,ScrapedOn
A306324,"https://petharbor.com/detail.asp?ID=A306324&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306324&LOCATION=SNCR,uno,Male,gray,domestic shorthair,2 months old,2.25,S F50,False,False,,2,,,2023-11-21,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306333,"https://petharbor.com/detail.asp?ID=A306333&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306333&LOCATION=SNCR,lugosi,Male,black,domestic shorthair,11 months old,7.8,S F13,False,False,,11,,,2023-10-21,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306355,"https://petharbor.com/detail.asp?ID=A306355&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306355&LOCATION=SNCR,lizzie,Female,gray tabby,domestic shorthair,4 months old,4.0,S F27,False,True,,4,,,2023-10-23,Meet Lizzie. Lizzie came to the Shelter after a good Samaritan found her outdoors but was unable to keep her. Lizzie is a sweet adolescent that would do well in a variety of homes. We do not have any history of her with other animals or children. A home with other animals or children may be a fit with a slow introduction and management.,2023-11-24
A306379,"https://petharbor.com/detail.asp?ID=A306379&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306379&LOCATION=SNCR,eric the red,Male,org tiger & white,domestic shorthair,3 months old,3.25,FOSTER,False,False,,3,,,2023-10-24,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306406,"https://petharbor.com/detail.asp?ID=A306406&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306406&LOCATION=SNCR,imogen,Female,tortie,domestic shorthair,7 months old,5.2,S F31,False,True,,7,,,2023-10-25,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306407,"https://petharbor.com/detail.asp?ID=A306407&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306407&LOCATION=SNCR,irene,Female,tortie,domestic shorthair,7 months old,5.0,S F31,False,True,,7,,,2023-10-25,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306451,"https://petharbor.com/detail.asp?ID=A306451&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306451&LOCATION=SNCR,ladyfinger,Female,black,domestic longhair,3 months old,2.6,CLINIC,False,True,,3,,,2023-11-08,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306452,"https://petharbor.com/detail.asp?ID=A306452&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306452&LOCATION=SNCR,eclair,Female,black,domestic longhair,3 months old,2.3,CLINIC,False,True,,3,,,2023-11-08,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306460,"https://petharbor.com/detail.asp?ID=A306460&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306460&LOCATION=SNCR,giselle,Female,brn tabby,domestic shorthair,,6.1,S GAR03,False,True,,,,,2023-11-22,"Since Giselle has arrived at the shelter, she has been rocking the single mom thing.  She has been a very attentive and encouraging momma to her 4 kittens teaching them all the skills they need as future cats.  This of course must be exhausting.  When she entered foster with her babies, she was very grateful to have someone willing to “babysit” from time to time.  Her foster parents were more than willing to give her a break when she needed it.  Now, her babies are bigger and ready to move on with their lives.  It’s Giselle’s turn to be taken care of, and she is looking for her forever home.  Is that something you can give her?  Giselle is a sweet girl that has shown she loves pets and attention from humans that she knows. She loves to play with toys just as much as her kittens. Come on down today and meet her!",2023-11-24
A306461,"https://petharbor.com/detail.asp?ID=A306461&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306461&LOCATION=SNCR,groot,Male,black,domestic shorthair,2 months old,1.75,S GAR03,False,False,,2,,,2023-11-22,"Meet the G-force!  Groot, Gracie, Gizmo and Glam!  These kittens are ready and waiting to meet you!  They have been living in foster with their momma until they were big enough to be adopted.  Their momma was so good at teaching them boundaries and manners.  They have great litter box and grooming habits.  These happy fun loving kittens are looking for a place and human(s) to call their own.  Won’t you come down to the shelter and meet them today?",2023-11-24
A306462,"https://petharbor.com/detail.asp?ID=A306462&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306462&LOCATION=SNCR,glam,Female,black,domestic shorthair,2 months old,1.4,S GAR03,False,True,,2,,,2023-11-22,"Meet the G-force!  Groot, Gracie, Gizmo and Glam!  These kittens are ready and waiting to meet you!  They have been living in foster with their momma until they were big enough to be adopted.  Their momma was so good at teaching them boundaries and manners.  They have great litter box and grooming habits.  These happy fun loving kittens are looking for a place and human(s) to call their own.  Won’t you come down to the shelter and meet them today?",2023-11-24
A306463,"https://petharbor.com/detail.asp?ID=A306463&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306463&LOCATION=SNCR,gracie,Female,brn tabby & black,domestic shorthair,2 months old,1.4,S GAR03,False,True,,2,,,2023-11-22,"Meet the G-force!  Groot, Gracie, Gizmo and Glam!  These kittens are ready and waiting to meet you!  They have been living in foster with their momma until they were big enough to be adopted.  Their momma was so good at teaching them boundaries and manners.  They have great litter box and grooming habits.  These happy fun loving kittens are looking for a place and human(s) to call their own.  Won’t you come down to the shelter and meet them today?",2023-11-24
A306464,"https://petharbor.com/detail.asp?ID=A306464&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306464&LOCATION=SNCR,gizmo,Female,brn tabby,domestic shorthair,2 months old,1.1,S GAR03,False,True,,2,,,2023-11-22,"Meet the G-force!  Groot, Gracie, Gizmo and Glam!  These kittens are ready and waiting to meet you!  They have been living in foster with their momma until they were big enough to be adopted.  Their momma was so good at teaching them boundaries and manners.  They have great litter box and grooming habits.  These happy fun loving kittens are looking for a place and human(s) to call their own.  Won’t you come down to the shelter and meet them today?",2023-11-24
A306476,"https://petharbor.com/detail.asp?ID=A306476&LOCATION=SNCR1&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306476&LOCATION=SNCR1,patience,Female,gray tabby,manx,"1 year, 1 month old",,W F01,False,True,1,1,,,2023-10-26,Santa Cruz County Animal Shelter - Watsonville at (831) 454-7303,2023-11-24
A306533,"https://petharbor.com/detail.asp?ID=A306533&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306533&LOCATION=SNCR,pj,Male,agouti & white,domestic shorthair,8 years old,,S K05,False,False,8,,,,2023-10-27,Meet PJ & Marley! These two came into the Shelter as owner surrender after their previous guardians were unable to continue caring for them. They were indoors only in their previous home. They have lived with a small breed dog and have done well. A home with a cat-savvy dog is likely okay provided there is a slow introduction and management. They have lived with children from toddlers to teenage and have done well. A home with kids is likely a fit. PJ and Marley would love to go to an adoptive home together as a bonded pair.,2023-11-24
A306534,"https://petharbor.com/detail.asp?ID=A306534&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306534&LOCATION=SNCR,marley,Male,agouti & white,domestic shorthair,8 years old,,S K06,False,False,8,,,,2023-10-27,Meet PJ & Marley! These two came into the Shelter as owner surrender after their previous guardians were unable to continue caring for them. They were indoors only in their previous home. They have lived with a small breed dog and have done well. A home with a cat-savvy dog is likely okay provided there is a slow introduction and management. They have lived with children from toddlers to teenage and have done well. A home with kids is likely a fit. PJ and Marley would love to go to an adoptive home together as a bonded pair.,2023-11-24
A306540,"https://petharbor.com/detail.asp?ID=A306540&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306540&LOCATION=SNCR,emery,Female,gray & white,domestic shorthair,4 months old,2.25,S CI04,False,True,,4,,,2023-10-27,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306546,"https://petharbor.com/detail.asp?ID=A306546&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306546&LOCATION=SNCR,holly,Female,tortie,domestic shorthair,4 months old,3.5,S F37,False,True,,4,,,2023-10-27,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306547,"https://petharbor.com/detail.asp?ID=A306547&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306547&LOCATION=SNCR,berry,Female,calico,domestic shorthair,4 months old,3.8,S F37,False,True,,4,,,2023-10-27,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306564,"https://petharbor.com/detail.asp?ID=A306564&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306564&LOCATION=SNCR,boots,Male,orange & white,domestic mediumhair,"2 years, 1 month old",10.5,S F47,False,False,2,2,,,2023-10-28,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306565,"https://petharbor.com/detail.asp?ID=A306565&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306565&LOCATION=SNCR,jasper,Male,black & white,domestic mediumhair,"2 years, 1 month old",10.6,S F44,False,False,2,2,,,2023-10-28,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306603,"https://petharbor.com/detail.asp?ID=A306603&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306603&LOCATION=SNCR,hannaford,Male,gray tiger,domestic shorthair,6 months old,5.6,S F45,False,False,,6,,,2023-10-31,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306604,"https://petharbor.com/detail.asp?ID=A306604&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306604&LOCATION=SNCR,dorothy,Female/Spayed,calico & pastel,domestic shorthair,8 years old,10.75,S F49,True,True,8,,,,2023-10-31,"Meet Dorothy! This sweet senior calico came to the Shelter as a stray found by a good samaritan. She is a chatty, sweet gal who is looking for a retirement home to hang in. We do not have any history of Dorothy in a home with other animals or kids. A home with other animals may be a fit with a slow introduction and management. If you are looking to to adopt a senior sweetie - come meet Dorothy!",2023-11-24
A306614,"https://petharbor.com/detail.asp?ID=A306614&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306614&LOCATION=SNCR,tara,Female,black & white,domestic shorthair,6 months old,,S F05,False,True,,6,,,2023-11-01,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306615,"https://petharbor.com/detail.asp?ID=A306615&LOCATION=SNCR1&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306615&LOCATION=SNCR1,kimchi,Female/Spayed,white & brn tabby,domestic shorthair,3 years old,,W F09,True,True,3,,,,2023-11-01,Santa Cruz County Animal Shelter - Watsonville at (831) 454-7303,2023-11-24
A306616,"https://petharbor.com/detail.asp?ID=A306616&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306616&LOCATION=SNCR,cindy-lou,Female,gray tiger,domestic shorthair,2 months old,2.75,S K04,False,True,,2,,,2023-11-22,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306636,"https://petharbor.com/detail.asp?ID=A306636&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306636&LOCATION=SNCR,gamora,Female,brn tabby & orange,domestic shorthair,2 months old,2.99,FOSTER,False,True,,2,,,2023-11-02,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306637,"https://petharbor.com/detail.asp?ID=A306637&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306637&LOCATION=SNCR,ed sheeran,Male,org tabby,domestic shorthair,2 months old,5.0,FOSTER,False,False,,2,,,2023-11-02,"Ed Sheeran is a cautious boy who has been in foster since being rescued by animal control after he and his ginger haired sister, Reba McIntyre, were found in a crate in front of a veterinary office.  Ed Sheeran greets you with a hiss, but he’s gentle and lovable once he gains your trust. He is cautious, but has never lashed out and always uses soft paws. He enjoys head rubs, cuddles, and eating!  Nothing is known about him prior to being rescued but Ed will need a family who will be patient with him and let him know that humans can be pretty cool creatures.",2023-11-24
A306638,"https://petharbor.com/detail.asp?ID=A306638&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306638&LOCATION=SNCR,reba mcintyre,Female,org tabby,domestic shorthair,2 months old,3.0,FOSTER,False,True,,2,,,2023-11-02,"Reba McIntrye is our ginger haired queen of country.  She and her brother, Ed Sheeran, were rescued by the animal shelter after they were found in a crate.  She is playful, somewhat cautious, but has come a long ways in her journey to trust people.  She is sweet, enjoys wand toys, and has a big appetite.  She always uses the litter box like a proper lady and uses soft paws while enjoying head rubs and cuddling.  She would do best in a home with patient guardians who will encourage her to play and engage with them.  She’s going to be great friend to someone!",2023-11-24
A306659,"https://petharbor.com/detail.asp?ID=A306659&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306659&LOCATION=SNCR,jessie,Female,brn tiger,domestic shorthair,11 months old,9.99,S F36,False,True,,11,,,2023-11-03,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306660,"https://petharbor.com/detail.asp?ID=A306660&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306660&LOCATION=SNCR,mc flurry,Female,gray tiger & white,domestic mediumhair,11 months old,9.99,S F39,False,True,,11,,,2023-11-03,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306710,"https://petharbor.com/detail.asp?ID=A306710&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306710&LOCATION=SNCR,giblet,Male/Neutered,black,domestic shorthair,4 months old,3.5,CLINIC,True,False,,4,,,2023-11-05,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306745,"https://petharbor.com/detail.asp?ID=A306745&LOCATION=SNCR1&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306745&LOCATION=SNCR1,serena,Female,calico,domestic shorthair,2 years,7.0,W F10,False,True,2,,,,2023-11-06,Santa Cruz County Animal Shelter - Watsonville at (831) 454-7303,2023-11-24
A306782,"https://petharbor.com/detail.asp?ID=A306782&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A306782&LOCATION=SNCR,mouse,Male,white & brn tiger,domestic shorthair,4 months old,3.1,S CI05,False,False,,4,,,2023-11-08,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
